Exit stations,Entry stations->,,WEEKDAY,,,42125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV,100,144,66,82,309,133,203,208,278,186,27,328,263,267,262,110,101,171,53,24,45,24,29,63,127,908,995,956,872,333,244,72,98,130,14,62,121,11,59,14,37,63,32,59,14,0,8697,,,OAK,15431,2099,4023,6051,4748,8532,886,41770
CL,90,179,79,82,208,121,220,250,401,293,337,26,234,251,258,137,185,362,78,82,100,55,40,74,120,749,726,610,533,197,152,90,92,156,23,110,328,33,121,27,43,41,46,147,40,0,8527,,,CM line,29493,3877,8803,3045,2210,3469,2562,53459
SL,52,77,33,41,174,63,137,222,347,285,276,245,17,133,208,93,93,149,32,22,24,9,10,24,46,720,716,576,482,145,92,37,64,90,11,55,99,9,43,13,16,41,15,44,11,0,6090,,,RM line,12760,6194,3334,7234,1591,4015,811,35940
BF,33,58,15,24,152,39,130,203,345,264,272,258,137,19,177,104,139,266,23,20,21,5,4,15,57,677,699,563,431,127,77,37,53,76,11,70,203,5,33,10,20,25,10,99,10,0,6015,,,WP line,19014,4802,2349,1601,5177,1652,914,35509
HY,48,86,29,32,140,52,135,207,289,166,263,263,210,196,28,120,228,406,26,29,25,9,7,20,44,514,503,370,311,99,68,31,39,53,7,29,81,14,53,12,18,25,9,47,15,0,5350,,,FT/ED line,21552,8635,3572,4129,1679,12544,654,52765
SH,23,32,11,14,86,25,59,148,157,92,105,122,79,103,100,13,92,174,12,8,12,5,2,10,16,415,391,254,231,74,52,16,20,40,6,27,39,3,23,8,8,13,8,22,8,0,3157,,,SFIA,8115,914,2722,824,941,609,1035,15158
UC,28,44,14,21,141,42,88,215,221,130,100,183,93,143,212,89,22,202,17,15,16,4,6,13,16,969,827,395,308,75,32,16,25,57,7,20,69,6,19,6,9,32,6,27,20,0,5001,,,Entries,111310,41853,55174,34700,34860,52379,15299,345575
FM,36,95,45,46,292,67,144,353,368,181,182,354,164,264,423,199,204,54,34,37,29,15,18,38,28,1855,1560,643,467,128,62,32,34,87,8,44,116,10,46,8,12,60,8,47,45,0,8942,,,,,,,,,,,
CN,27,40,20,22,151,25,142,304,367,39,56,81,33,26,29,15,16,35,26,118,330,113,44,101,24,966,987,576,504,122,84,49,48,101,21,9,13,68,395,19,29,114,28,5,28,0,6346,,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH,14,21,20,23,139,26,139,321,322,21,20,79,19,17,29,10,18,33,120,26,130,56,36,120,17,1508,1591,647,538,134,73,92,41,86,13,4,5,39,140,22,31,145,26,5,46,0,6963,,,Dtwn SF,4946,,,,,,,
